Version,File Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,Age,Buggy
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,68,90,2,0,2,79,68,39,68,68,34,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,154,176,3,0,2,165,153,55,154,153,51,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,72,74,2,0,2,73,72,36,72,72,36,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,385,415,6,1,3,400,364,66,385,364,64,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,76,80,2,0,2,78,76,39,76,76,38,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,159,167,3,0,2,163,158,54,159,158,53,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,737,1043,3,0,2,890,736,296,737,736,245,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,74,78,2,0,2,76,74,38,74,74,37,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,94,100,3,0,2,97,93,32,94,93,31,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,22,22,1,0,1,22,22,22,22,22,22,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,427,451,3,0,2,439,426,146,427,426,142,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,62,62,1,0,1,62,62,62,62,62,62,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,58,60,2,0,2,59,58,29,58,58,29,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,91,101,2,0,2,96,91,48,91,91,45,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,27,29,2,0,2,28,27,14,27,27,13,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,77,81,2,0,2,79,77,39,77,77,38,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,704,780,3,0,2,742,703,247,704,703,234,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,63,71,2,0,2,67,63,33,63,63,31,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,37,37,1,0,1,37,37,37,37,37,37,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,64,66,2,0,2,65,64,32,64,64,32,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,124,130,2,0,2,127,124,63,124,124,62,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,160,174,4,0,2,167,159,41,160,159,40,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,36,46,2,0,2,41,36,20,36,36,18,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,58,62,2,0,2,60,57,30,58,57,29,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,62,62,1,0,1,62,62,62,62,62,62,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,130,154,4,0,2,142,129,35,130,129,32,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,74,78,2,0,2,76,73,38,74,73,37,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,83,89,3,0,2,86,82,28,83,82,27,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,74,74,1,0,1,74,74,74,74,74,74,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,48,52,2,0,2,50,48,25,48,48,24,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,60,62,2,0,2,61,60,30,60,60,30,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,70,82,3,0,2,76,70,25,70,70,23,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,183,221,4,0,2,202,180,50,183,180,45,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,53,53,1,0,1,53,53,53,53,53,53,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,452,492,4,1,2,472,450,118,452,450,113,36,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,39,39,1,0,1,39,39,39,39,39,39,36,NO
