DataSet,"#TrainingRelease",%training,%Defective training,%Defective testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
ZOOKEEPER,4,21.05,11.93,10.43,IBk,Undersampling,No selection,23.0,128.0,121.0,6.0,0.152317880794702,0.7931034482758621,0.6395236116881319,0.09762123928104256
ZOOKEEPER,4,21.05,11.93,10.43,IBk,Undersampling,Best First,21.0,122.0,127.0,8.0,0.14685314685314685,0.7241379310344828,0.6181969256335688,0.08557259248013764
ZOOKEEPER,4,21.05,11.93,10.43,IBk,Smote,No selection,14.0,30.0,219.0,15.0,0.3181818181818182,0.4827586206896552,0.6811383464894059,0.2948934731146434
ZOOKEEPER,4,21.05,11.93,10.43,IBk,Smote,Best First,17.0,59.0,190.0,12.0,0.2236842105263158,0.5862068965517241,0.7003877579282648,0.2035348236623356
ZOOKEEPER,5,26.32,11.56,16.25,Random Forest,No sampling,No selection,11.0,8.0,229.0,35.0,0.5789473684210527,0.2391304347826087,0.7975600807191341,0.26899741695200363
ZOOKEEPER,5,26.32,11.56,16.25,Random Forest,No sampling,Best First,6.0,5.0,232.0,40.0,0.5454545454545454,0.13043478260869565,0.7576591451109889,0.15768238640121712
ZOOKEEPER,5,26.32,11.56,16.25,Random Forest,Oversampling,No selection,21.0,19.0,218.0,25.0,0.525,0.45652173913043476,0.7809576224545954,0.39723109691160813
ZOOKEEPER,5,26.32,11.56,16.25,Random Forest,Oversampling,Best First,6.0,10.0,227.0,40.0,0.375,0.13043478260869565,0.7147771051183269,0.11969640413089455
ZOOKEEPER,5,26.32,11.56,16.25,Random Forest,Undersampling,No selection,26.0,24.0,213.0,20.0,0.52,0.5652173913043478,0.8021005320124748,0.4482453030840127
ZOOKEEPER,5,26.32,11.56,16.25,Random Forest,Undersampling,Best First,22.0,52.0,185.0,24.0,0.2972972972972973,0.4782608695652174,0.7483030636580444,0.20786682380671778
ZOOKEEPER,5,26.32,11.56,16.25,Random Forest,Smote,No selection,14.0,11.0,226.0,32.0,0.56,0.30434782608695654,0.807558246193359,0.3160793570505255
ZOOKEEPER,5,26.32,11.56,16.25,Random Forest,Smote,Best First,7.0,6.0,231.0,39.0,0.5384615384615384,0.15217391304347827,0.7438543386534581,0.17844010063866844
ZOOKEEPER,5,26.32,11.56,16.25,Naive Bayes,No sampling,No selection,6.0,5.0,232.0,40.0,0.5454545454545454,0.13043478260869565,0.7928361768482847,0.15768238640121712
ZOOKEEPER,5,26.32,11.56,16.25,Naive Bayes,No sampling,Best First,14.0,9.0,228.0,32.0,0.6086956521739131,0.30434782608695654,0.7886626307099615,0.3335822181379586
ZOOKEEPER,5,26.32,11.56,16.25,Naive Bayes,Oversampling,No selection,14.0,9.0,228.0,32.0,0.6086956521739131,0.30434782608695654,0.8041643735094478,0.3335822181379586
ZOOKEEPER,5,26.32,11.56,16.25,Naive Bayes,Oversampling,Best First,19.0,18.0,219.0,27.0,0.5135135135135135,0.41304347826086957,0.7891671252981104,0.3659447348767736
ZOOKEEPER,5,26.32,11.56,16.25,Naive Bayes,Undersampling,No selection,12.0,9.0,228.0,34.0,0.5714285714285714,0.2608695652173913,0.7947165657677491,0.2853955017910625
ZOOKEEPER,5,26.32,11.56,16.25,Naive Bayes,Undersampling,Best First,19.0,16.0,221.0,27.0,0.5428571428571428,0.41304347826086957,0.7727481196110806,0.38237831802263633
ZOOKEEPER,5,26.32,11.56,16.25,Naive Bayes,Smote,No selection,12.0,8.0,229.0,34.0,0.6,0.2608695652173913,0.7994863327829757,0.2940966860672285
ZOOKEEPER,5,26.32,11.56,16.25,Naive Bayes,Smote,Best First,16.0,15.0,222.0,30.0,0.5161290322580645,0.34782608695652173,0.7706842781141076,0.3275780136226832
ZOOKEEPER,5,26.32,11.56,16.25,IBk,No sampling,No selection,18.0,13.0,224.0,28.0,0.5806451612903226,0.391304347826087,0.6682260135754907,0.3873488568562224
ZOOKEEPER,5,26.32,11.56,16.25,IBk,No sampling,Best First,10.0,15.0,222.0,36.0,0.4,0.21739130434782608,0.609704641350211,0.1888383071994605
ZOOKEEPER,5,26.32,11.56,16.25,IBk,Oversampling,No selection,19.0,21.0,216.0,27.0,0.475,0.41304347826086957,0.6757017061089708,0.3424339239035725
ZOOKEEPER,5,26.32,11.56,16.25,IBk,Oversampling,Best First,15.0,20.0,217.0,31.0,0.42857142857142855,0.32608695652173914,0.6427261053017795,0.26747195858498735
ZOOKEEPER,5,26.32,11.56,16.25,IBk,Undersampling,No selection,31.0,55.0,182.0,15.0,0.36046511627906974,0.6739130434782609,0.7209227664648689,0.327197391658742
ZOOKEEPER,5,26.32,11.56,16.25,IBk,Undersampling,Best First,22.0,45.0,192.0,24.0,0.3283582089552239,0.4782608695652174,0.6386901485965878,0.24357931435212096
ZOOKEEPER,5,26.32,11.56,16.25,IBk,Smote,No selection,19.0,13.0,224.0,27.0,0.59375,0.41304347826086957,0.6790955787928821,0.40825927861996864
ZOOKEEPER,5,26.32,11.56,16.25,IBk,Smote,Best First,11.0,15.0,222.0,35.0,0.4230769230769231,0.2391304347826087,0.6199321225463218,0.21318950177935922
ZOOKEEPER,6,31.58,12.51,10.20,Random Forest,No sampling,No selection,20.0,14.0,259.0,11.0,0.5882352941176471,0.6451612903225806,0.9315845444877703,0.5694538862451846
ZOOKEEPER,6,31.58,12.51,10.20,Random Forest,No sampling,Best First,14.0,16.0,257.0,17.0,0.4666666666666667,0.45161290322580644,0.8052109181141439,0.39870534643970285
ZOOKEEPER,6,31.58,12.51,10.20,Random Forest,Oversampling,No selection,28.0,33.0,240.0,3.0,0.45901639344262296,0.9032258064516129,0.9274488951908306,0.547506822128504
ZOOKEEPER,6,31.58,12.51,10.20,Random Forest,Oversampling,Best First,21.0,51.0,222.0,10.0,0.2916666666666667,0.6774193548387096,0.8081058726220016,0.3092967818831942
ZOOKEEPER,6,31.58,12.51,10.20,Random Forest,Undersampling,No selection,30.0,55.0,218.0,1.0,0.35294117647058826,0.967741935483871,0.9284532671629446,0.43241981729679263
ZOOKEEPER,6,31.58,12.51,10.20,Random Forest,Undersampling,Best First,23.0,89.0,184.0,8.0,0.20535714285714285,0.7419354838709677,0.7810469100791682,0.1927288655278144
ZOOKEEPER,6,31.58,12.51,10.20,Random Forest,Smote,No selection,23.0,17.0,256.0,8.0,0.575,0.7419354838709677,0.9214226633581473,0.6021775544388609
ZOOKEEPER,6,31.58,12.51,10.20,Random Forest,Smote,Best First,16.0,19.0,254.0,15.0,0.45714285714285713,0.5161290322580645,0.8118279569892473,0.42237621549122634
ZOOKEEPER,6,31.58,12.51,10.20,Naive Bayes,No sampling,No selection,6.0,16.0,257.0,25.0,0.2727272727272727,0.1935483870967742,0.8420181968569065,0.15486845673989752
ZOOKEEPER,6,31.58,12.51,10.20,Naive Bayes,No sampling,Best First,8.0,20.0,253.0,23.0,0.2857142857142857,0.25806451612903225,0.7136949072432943,0.19308641975308607
